Fecha;Yld_Sprd;r_Crude;r_Ftse_Colndx;TCM;Contracciones
2/05/2003;0.034562988;-0.005038721;-0.003426413;-0.002925864;0
5/05/2003;0.03639601;0.031943903;-0.001748483;-0.000377162;0
6/05/2003;0.037029154;-0.02906761;-0.003871063;-0.001148649;0
7/05/2003;0.037275618;0.019828967;-0.006604903;-0.000211245;0
8/05/2003;0.036909563;0.028593214;-0.001204819;0.001378078;0
9/05/2003;0.033438617;0.027427687;0.000059569;-0.002682776;0
12/05/2003;0.036019994;-0.013347728;-0.002695338;-0.001278045;0
13/05/2003;0.037100535;0.042047532;0.004703458;-0.000946066;0
14/05/2003;0.038679923;0.023508772;0.000341819;-0.003116036;0
15/05/2003;0.036044143;-0.014741172;0.000519982;0.001153047;0
16/05/2003;0.033337651;0.01391785;0.00026728;0.001062467;0
19/05/2003;0.028591628;-0.010638264;0.015676261;-0.001774282;0
20/05/2003;0.034558715;0.015608776;0.002060831;0.008899516;0
21/05/2003;0.022207062;-0.008538251;0.021499417;0.005264513;0
22/05/2003;0.024184449;-0.006200516;0.00304138;0.000392352;0
23/05/2003;0.024085548;0.010745234;-0.004768887;-0.00097781;0
26/05/2003;0.035788722;0;0;-0.005646988;0
27/05/2003;0.035813085;0.006515775;-0.008210322;0;0
28/05/2003;0.035061224;-0.026235094;0.000302864;-0.00278574;0
29/05/2003;0.03398223;0.018194542;0.014907943;0.003774822;0
30/05/2003;0.03975685;0.015807526;-0.000426179;-0.002884298;0
3/06/2003;0.014661034;0.037550779;-0.002970311;-0.000387952;1
4/06/2003;0.040063614;-0.020215227;-0.001083331;-0.001092692;1
5/06/2003;0.034419097;0.022961764;-0.003724421;0.000541356;1
6/06/2003;0.042448123;0.017566721;-0.004597734;-0.00160315;1
9/06/2003;0.031956315;0.005434782;-0.005813284;-0.001687398;1
10/06/2003;0.032890169;0.008902989;-0.01457477;-0.001492079;1
11/06/2003;0.033469438;0.019855058;0.038701623;-0.001368908;1
12/06/2003;0.042467232;-0.026267026;-0.004355204;0.001795519;1
13/06/2003;0.035679816;-0.027292923;0;0.001679268;1
16/06/2003;0.032935846;0.017292007;-0.010509572;-0.001626933;1
17/06/2003;0.020329828;-0.003527903;-0.006559306;-0.000460457;1
18/06/2003;0.027297218;-0.022851593;-0.010879145;0.001590278;1
19/06/2003;0.025557298;-0.013175296;0.006762876;7.06122E-05;1
20/06/2003;0.022926448;0.028704974;0.007457381;-0.000310165;1
24/06/2003;0.032437271;-0.066190753;-0.000158412;-0.000159776;1
25/06/2003;0.032143935;0.04065323;0.006107046;-0.001708968;1
26/06/2003;0.03511952;-0.031385675;0.001503178;-0.001282286;1
27/06/2003;0.036971946;0.008962427;-0.018325543;0.000822334;1
1/07/2003;0.034215556;0.038606081;0.006916636;0.00077762;0
2/07/2003;0.029318153;-0.008223684;-0.002241504;4.77844E-05;0
3/07/2003;0.030109879;0.008955224;0.011653018;-0.000806873;0
4/07/2003;0.036163153;0;0;0.000422908;0
7/07/2003;0.027240205;-0.009533235;0;0;0
8/07/2003;0.030134598;0.002987056;0.010501583;0.000879995;0
9/07/2003;0.011334392;0.021839842;0.003714626;0.002767042;0
10/07/2003;0.032391902;0.005829016;-0.000791027;0.001223652;0
11/07/2003;0.022514915;0.00708313;-0.004368232;0.001297789;0
14/07/2003;0.01847762;-0.000319725;-0.000269775;0.000235684;0
15/07/2003;0.030633061;0.011192869;0.002684278;0.002262129;0
16/07/2003;0.024223673;-0.018026628;-0.001218148;0.001131186;0
17/07/2003;0.018626926;0.011594235;4.25E-05;1.39E-03;0
18/07/2003;0.023254924;0.017510315;0.001574111;-0.000702699;0
21/07/2003;0.026298711;-0.005631978;0;-0.000483672;0
22/07/2003;0.025672759;-0.050031465;-7.08E-05;-3.56E-04;0
23/07/2003;0.025978941;-0.017224279;2.83E-05;3.47E-05;0
24/07/2003;0.026153696;0.018537209;-0.000382306;0.000624162;0
25/07/2003;0.026901003;-0.0016545;0.00311628;0.000693967;0
28/07/2003;0.027573191;-0.001988697;-0.004250392;0.000151892;0
29/07/2003;0.027754963;0.004317469;-0.000737421;-0.00077807;0
30/07/2003;0.028971054;0.014550265;-5.68E-05;-1.51E-03;0
31/07/2003;0.016002914;-0.004563201;-0.001901788;0.001091479;0
1/08/2003;0.026390468;0.057956776;-0.004052555;-0.000120637;0
4/08/2003;0.027401974;-0.014546611;-0.005882269;0.001095063;0
5/08/2003;0.0238533;0.011934705;0.008617099;0.00115833;0
6/08/2003;0.02652796;-0.016139044;0.002477609;0.000975645;0
8/08/2003;0.036346658;0.015141924;-0.013053421;-0.002106897;0
11/08/2003;0.033007727;-0.005282846;0;-0.001789267;0
12/08/2003;0.029642397;-0.002811559;-0.000446146;-0.000252326;0
13/08/2003;0.02923665;-0.035714254;0.007026334;-0.000757859;0
14/08/2003;0.027144824;0.010071442;0.008092535;0.000328417;0
15/08/2003;0.02675593;-0.001286619;-0.008183585;-0.000887447;0
19/08/2003;0.026102471;-0.011272078;-0.006120406;-0.000526358;0
20/08/2003;0.025024813;0.008143322;0.015193807;0.001204979;0
21/08/2003;0.027615037;0.0300484;-0.000552737;-0.001160965;0
22/08/2003;0.026223069;-0.001254674;0.017314483;-0.001226471;0
25/08/2003;0.028818368;-0.008794001;0.029077223;-0.00187756;0
26/08/2003;0.031381561;0.012357478;-0.003467613;0.00036822;0
27/08/2003;0.028561814;-0.023161251;0.00010874;0.000793438;0
28/08/2003;0.027600909;0.009291926;0;0.000309353;0
29/08/2003;0.02888351;0.002222222;0.003003615;-0.000705891;0
1/09/2003;0.035152054;0;0;-0.002037193;0
2/09/2003;0.030467115;-0.068419385;-0.003292728;0;0
3/09/2003;0.029307153;0.002720163;0.000570994;0.001236915;0
4/09/2003;0.029186128;-0.017293998;0;-0.002231447;0
5/09/2003;0.031165693;-0.00345069;0.003206609;-0.001496083;0
8/09/2003;0.033775837;-0.001038747;-0.002451445;0.000573184;0
9/09/2003;0.03484729;0.011438475;0.044859001;0.000367856;0
10/09/2003;0.034571035;0.005825908;0.026573281;-0.000407893;0
11/09/2003;0.034359353;-0.018057922;0.007607402;0.000781587;0
12/09/2003;0.035323513;-0.019083969;-0.003354145;0.000697317;0
15/09/2003;0.036076501;-0.00459855;0;-0.000758808;0
16/09/2003;0.038065082;-0.02061123;-0.007575376;-5.3812E-05;0
17/09/2003;0.039151793;-0.019230697;-0.018708325;-0.000113796;0
18/09/2003;0.039078695;0.005179393;0.020864073;-7.84443E-05;0
19/09/2003;0.034664658;-0.005152705;0.001343916;0.001590723;0
22/09/2003;0.040019561;-0.002589789;0.015535579;0.001682638;0
23/09/2003;0.040159602;0.006305638;0.015796626;0.002243044;0
24/09/2003;0.041268052;0.040914156;0.008174387;0.001069469;0
25/09/2003;0.045920014;0.001770574;0.013781349;0.000889973;0
26/09/2003;0.042407311;-0.004595299;-0.01540734;-0.000137615;0
29/09/2003;0.039450718;0.008522727;0.005098245;0.00119775;0
30/09/2003;0.042522624;0.028169049;0.013530404;0.001516231;0
1/10/2003;0.044448158;0.006506781;0.021670937;-0.000177398;0
2/10/2003;0.046429426;0.015311365;0.009609525;0.002877513;0
3/10/2003;0.034421868;0.018766756;-0.002205404;-0.000342204;0
6/10/2003;0.03319438;0.002302599;-0.029117517;-0.003488183;0
7/10/2003;0.039053108;-0.001969117;0.007356906;-0.001385619;0
8/10/2003;0.036877989;-0.019730385;0.012334519;-0.00057335;0
9/10/2003;0.038205296;0.040254983;0.001633181;0.002818605;0
10/10/2003;0.034315289;0.030957723;0.001126113;-0.001385892;0
14/10/2003;0.039084796;-0.004691868;0.012677954;-0.001441796;0
15/10/2003;0.03639677;-0.001571339;0.013039907;-0.00053471;0
16/10/2003;0.034404737;-0.007239503;-0.009879617;0.001268297;0
17/10/2003;0.041022857;-0.027266993;0.015272987;-0.00090014;0
20/10/2003;0.03643983;-0.010756193;0.011157443;-0.000410599;0
21/10/2003;0.046188207;-0.005601318;0.011023091;-0.000106122;0
22/10/2003;0.036236673;-0.008614977;0.018582733;-1.36461E-05;0
23/10/2003;0.038797984;0.012700501;0.005226519;0.000872488;0
24/10/2003;0.04096616;-0.004620429;0.007359406;0.000384187;0
27/10/2003;0.037540876;-0.00795756;0.019837293;-0.002223608;0
28/10/2003;0.044333151;-0.012032119;-0.041903514;0.003766005;0
29/10/2003;0.041812366;-0.021989141;-0.000606528;-0.000517043;0
30/10/2003;0.03782835;-0.015219682;-0.022124138;-0.001394409;0
31/10/2003;0.034532891;0.022479874;0.033333333;0.002122313;0
4/11/2003;0.036999292;-0.012366918;-0.020202241;-0.000922521;0
5/11/2003;0.039567991;0.053913009;-0.025333244;-0.00129816;0
6/11/2003;0.038431604;-0.001320099;0.0273982;-0.001990273;0
7/11/2003;0.035302557;0.019497687;0.022282324;-0.000330065;0
10/11/2003;0.037375991;0.000972415;0.00534573;-0.001577733;0
11/11/2003;0.03866297;0.008743556;0.002653238;-0.000521071;0
12/11/2003;0.039205763;0.005778491;-0.001317708;0;0
13/11/2003;0.036709955;0.018193425;0.004228719;0.000806555;0
14/11/2003;0.03757094;0.014733511;0.020893015;0.000693843;0
18/11/2003;0.043723191;0.028112451;-0.005886449;-0.001176374;0
19/11/2003;0.040503797;-0.010817338;-0.018814466;-0.001616409;0
20/11/2003;0.038097195;-0.001822509;0.02410694;-0.000824294;0
21/11/2003;0.035334217;-0.038040169;0.006948845;0.000690855;0
24/11/2003;0.037922632;-0.059158524;0;0.000819923;0
25/11/2003;0.036052058;0.001008742;-0.003859465;0.000240319;0
26/11/2003;0.038422101;0.021498153;0.004948306;0.000180535;0
27/11/2003;0.038800605;0;0;-7.64886E-05;0
28/11/2003;0.108825187;0;0;0;0
1/12/2003;0.039663178;-0.01512657;-0.000953359;-0.000405615;0
2/12/2003;0.037482518;0.027712854;0.010517927;-0.001068655;0
3/12/2003;0.037458312;0.010396328;0.00557262;-0.001836798;0
4/12/2003;0.038931248;0.005144695;0.013446714;-0.000300719;0
5/12/2003;0.038769444;-0.016954575;0.0022606;2.1597E-05;0
9/12/2003;0.039253595;0.033517735;0.000335277;-0.001067251;0
10/12/2003;0.04040174;0.003778306;0.0002336;0.002214975;0
11/12/2003;0.040162549;-0.000940998;0;-0.001129213;0
12/12/2003;0.041062691;0.037362669;0.004630288;-0.001102773;0
15/12/2003;0.041372458;0.004237258;0;0.000695351;0
16/12/2003;0.04209247;-0.008740235;-0.000566011;-0.000859307;0
17/12/2003;0.040250471;0.013985984;0.00099108;-0.002200825;0
18/12/2003;0.041541193;0.010794633;0.019155385;0.000334176;0
19/12/2003;0.039564049;-0.020468675;-0.003767001;0.001002538;0
22/12/2003;0.041629522;-0.034827347;0.003224009;0.000808414;0
23/12/2003;0.037630069;0.002510198;0.006635588;0.00034026;0
26/12/2003;0.054863384;0.028482002;-0.010996266;-0.001890268;0
29/12/2003;0.041988946;-0.013998752;-0.008000159;-0.000260945;0
30/12/2003;0.053826648;0.012037005;0.000552375;-0.002241563;0
2/01/2004;0.035580234;-0.008234248;0.011412798;-0.000407808;0
5/01/2004;0.042480601;0.038745357;0.016593557;-3.90822E-05;0
6/01/2004;0.040105569;-0.002368206;0.021194135;0.000150056;0
7/01/2004;0.047122571;-0.002373947;-0.00376655;-0.002061553;0
8/01/2004;0.051563375;0.010707942;-0.013818119;-0.001089551;0
9/01/2004;0.051880801;0.009711624;-0.007365891;-0.001251715;0
13/01/2004;0.051482042;0.003497493;-0.024300586;0.000542748;0
14/01/2004;0.0531011;0.002033111;-0.006741347;0.001256443;0
15/01/2004;0.053526247;-0.030724667;-0.009022496;-0.00240427;0
16/01/2004;0.053425811;0.048744051;-0.047727922;-0.003688146;0
19/01/2004;0.050346957;0;0;0.000775792;0
20/01/2004;0.053691024;0.0322213;-0.063271737;0;0
21/01/2004;0.052301503;-0.044751352;-0.035105787;0.000326151;0
22/01/2004;0.045555393;0.010121399;-0.014550845;0.001589065;0
23/01/2004;0.051893216;0.000286258;-0.075717827;0.0003358;0
26/01/2004;0.05102795;-0.013451575;0.129521131;0.000765667;0
27/01/2004;0.052002128;-0.010153815;-0.026580907;0.003019419;0
28/01/2004;0.051717533;-0.014654162;0.001965707;-0.004831358;0
29/01/2004;0.051892146;-0.024092743;0.02197036;-0.002342623;0
30/01/2004;0.052172718;0.007314782;0.014432251;0.003019817;0
2/02/2004;0.05291114;0.058396401;-0.012060966;0.000304156;0
3/02/2004;0.052105813;-0.02515729;0;-0.00068465;0
4/02/2004;0.052351016;-0.029325515;-0.010281204;0.001445689;0
5/02/2004;0.052241243;-0.000604109;-0.012579863;0.000535566;0
6/02/2004;0.05035679;-0.018137907;0.002904608;-0.00027955;0
9/02/2004;0.053954752;0.010775924;0.003920461;0.001299878;0
10/02/2004;0.05285634;0.03167825;0;-0.002522849;0
11/02/2004;0.053007142;0.003838235;0.018951121;-0.000899251;0
12/02/2004;0.052759443;-0.000588235;0.023708682;0.000228558;0
13/02/2004;0.053216753;0.017068893;0.011962045;-8.25208E-05;0
16/02/2004;0.039839137;0;0;-0.001918261;0
17/02/2004;0.052348615;0.017361082;0.021952629;0;0
18/02/2004;0.052377968;0.008248038;0.009936079;-0.00146267;0
19/02/2004;0.051798702;0.015514781;-0.032388969;-0.002814613;0
20/02/2004;0.051843392;-0.011111167;-0.023928448;-0.000615415;0
23/02/2004;0.055963622;-0.035112362;0.015009915;0.001022527;0
24/02/2004;0.05095313;0.006695896;0.003873836;-0.005561874;0
25/02/2004;0.052855427;0.031810235;0;-0.002268757;0
26/02/2004;0.051778501;-0.00476463;-0.000492148;0.002019431;0
27/02/2004;0.052964937;0.01830476;-0.004241271;0.003610186;0
1/03/2004;0.049786618;0.019358435;-0.011530551;-0.000679485;0
2/03/2004;0.049083198;-0.005425963;-0.012267637;-0.003173647;0
3/03/2004;0.050333809;-0.023458838;0;-0.000389975;0
4/03/2004;0.049027424;0.023463688;-0.00156545;0.001718806;0
5/03/2004;0.046771052;0.016921371;-0.014376297;0.000883634;0
10/03/2004;0.049657952;-0.031132584;0.018703286;0.000455733;0
11/03/2004;0.052638748;0.018836594;0.000229642;0.00096341;0
12/03/2004;0.050830729;-0.016041327;0.001182386;-0.000338164;0
16/03/2004;0.048662435;0.035645234;-0.002029467;-0.00351531;0
17/03/2004;0.048806578;0.018676628;0;-0.002041272;0
18/03/2004;0.04972316;-0.006547931;-0.003423792;0.000203248;0
23/03/2004;0.050185438;-0.012654864;0.009764814;0.003131741;0
24/03/2004;0.048071496;-0.011749078;-0.001678331;-0.000796305;0
25/03/2004;0.047453339;-0.040529589;0.005878317;0.000415433;0
26/03/2004;0.046757421;0.006195495;0.000159174;0.001995049;0
29/03/2004;0.045114251;-0.007836524;0.007377683;-0.000916779;0
30/03/2004;0.043177163;0.022566967;0.000631933;0.000527587;0
31/03/2004;0.042399459;-0.013517297;-0.002165259;0.000199504;0
1/04/2004;0.042794345;-0.041666613;0;0.000636828;1
2/04/2004;0.041125332;0.003501576;-0.000587697;-0.001797833;1
5/04/2004;0.040189435;-0.000290724;-0.002453946;-0.000725783;1
6/04/2004;0.037840668;0.01716114;-0.001156305;8.30545E-05;1
7/04/2004;0.038819565;0.033743236;-0.000862558;-0.000653465;1
12/04/2004;0.038757976;0.046749596;-0.024127042;-0.000652817;1
13/04/2004;0.039124807;-0.016649075;0.005144919;-0.001677336;1
14/04/2004;0.0422498;-0.01316845;0.006948305;-0.001025954;1
15/04/2004;0.039891361;0.02314812;-0.013743215;-0.001783532;1
16/04/2004;0.042284753;0.00452494;-0.013456627;-0.002006357;1
19/04/2004;0.043457712;-0.008479173;0.001477489;9.94609E-05;1
20/04/2004;0.041850861;0.004810262;-0.00439052;-0.001309734;1
21/04/2004;0.037606065;-0.049733992;0.001197307;0.001434029;1
22/04/2004;0.041508049;0.027427904;0.001432682;0.00119968;1
23/04/2004;0.03712772;-0.006810134;-0.007484216;-0.001652281;1
26/04/2004;0.037872887;0.013987987;-0.005694205;0.000750763;1
27/04/2004;0.036946443;0.015147362;-0.001821079;-0.001459625;1
28/04/2004;0.040024659;-0.001865175;-0.006757487;0.001166435;1
29/04/2004;0.039317094;-0.004004218;0;0.002476766;1
30/04/2004;0.045134989;0.001876173;-0.019781999;0.001813485;1
3/05/2004;0.040243565;0.022204333;0.005313444;0.001341668;1
4/05/2004;0.033875166;0.020151819;0.009381208;0.002566912;1
5/05/2004;0.041094683;0.015135967;0.00343818;-0.00099789;1
6/05/2004;0.021136482;-0.005054359;0.017059351;-0.001037761;1
7/05/2004;0.036435414;0.014224054;0.025201481;0.005236821;1
10/05/2004;0.044833976;-0.025043827;0.003866698;0.002789817;1
11/05/2004;0.039375401;0.029026483;0.003955907;0.003795443;1
12/05/2004;0.029687082;0.017723389;0.010127311;-0.000357848;1
13/05/2004;0.031235473;0.007603679;-0.002965531;-8.4336E-05;1
14/05/2004;0.033391839;0.007302799;0.006886769;0.002008469;1
17/05/2004;0.026037361;0.004108216;0.029790038;-0.003462256;1
18/05/2004;0.0262756;-0.024308015;0.006950727;-0.001053525;1
19/05/2004;0.035868635;0.02368029;0.023272122;0.001940404;1
20/05/2004;0.031931785;-0.013975952;0.04169522;0.001923841;1
21/05/2004;0.03375818;-0.024193501;0.017474251;0.003513977;1
25/05/2004;0.048277594;0.030303005;0.067433779;0.001106439;1
26/05/2004;0.036969617;-0.010695139;-0.000141963;-0.001063953;1
27/05/2004;0.035169091;-0.030958279;0.022215701;-0.000823719;1
28/05/2004;0.034426672;0.011156238;-0.005602215;-0.001408505;1
31/05/2004;0.033664603;0;0;-0.003332542;1
1/06/2004;0.040670457;0.061434326;0.007300629;0;1
2/06/2004;0.034608294;-0.055988729;0.009651296;0.001824238;1
3/06/2004;0.033066932;-0.017017017;-0.001483299;-0.001384575;1
4/06/2004;0.033861583;-0.02011194;0.005978689;-0.000795223;1
7/06/2004;0.034470151;0.004416679;0.003646109;-0.001169181;1
8/06/2004;0.036561211;-0.035695835;0;-0.00128782;1
9/06/2004;0.03639785;0.006974303;-0.004722722;-0.000218218;1
10/06/2004;0.031982391;0.024240809;-0.002500319;0.002140534;1
11/06/2004;0.036495232;0;0;0.002080766;1
15/06/2004;0.029401085;-0.032769882;0.000942257;0.000403526;1
16/06/2004;0.034722472;0.00349559;0.002467669;1.74671E-05;1
17/06/2004;0.020416655;0.030546597;0.00079318;-0.00146013;1
18/06/2004;0.038932928;0.007540328;-0.009519732;-0.002044141;1
22/06/2004;0.035071275;-0.016516103;0.009151361;-0.000333084;1
23/06/2004;0.034719967;-0.014169535;0;-0.000270819;1
24/06/2004;0.047578673;0.009582113;0.024817265;0.000997508;1
25/06/2004;0.034027028;-0.010018481;0.022526569;-0.002072833;1
28/06/2004;0.037572647;-0.034886739;0.026839917;-0.000887944;1
29/06/2004;0.034223163;-0.016004469;0.013967001;-0.000331836;1
30/06/2004;0.034405325;0.03897922;0.004026296;0.00073421;1
1/07/2004;0.041351613;0.045614117;-0.005116685;-0.000884102;0
2/07/2004;0.040675175;-0.009034667;0.009708981;-0.001912846;0
6/07/2004;0.039231188;0.032821126;0.009193232;-0.00132161;0
7/07/2004;0.039257943;-0.014375787;0.003052909;-0.000186809;0
8/07/2004;0.042877717;0.031985669;0;0.000341069;0
9/07/2004;0.043837099;-0.009174386;-0.000319089;0.000384599;0
12/07/2004;0.043212203;-0.011511487;-0.017997446;-0.001395592;0
13/07/2004;0.043516201;-0.001519013;0.01266825;0.000191977;0
14/07/2004;0.044406354;0.038793155;0.013629069;0.0007151;0
15/07/2004;0.044726095;-0.004881645;0.024139135;-0.00198894;0
16/07/2004;0.044403031;0.011773363;0.012193382;-0.003178036;0
19/07/2004;0.043792803;0.009454521;-0.006352215;-0.002386076;0
21/07/2004;0.045074179;-0.025456221;0.007070731;0.000716541;0
22/07/2004;0.045041841;0.019221266;0.007506379;8.24749E-05;0
23/07/2004;0.039626657;0.008462234;0.01190208;-0.002199182;0
26/07/2004;0.044682909;-0.006473268;0.008145936;0.001426604;0
27/07/2004;0.043049174;0.009652534;-0.034780291;0.001296752;0
28/07/2004;0.043722706;0.025334656;0.016308593;0.000559739;0
29/07/2004;0.045634155;-0.00349655;-0.023763683;-0.000869551;0
30/07/2004;0.043993403;0.02456138;-0.011594526;-0.00246162;0
2/08/2004;0.045773332;0.000456644;0;-0.001180368;0
3/08/2004;0.045394193;0.007530853;-0.011127113;0.000189473;0
4/08/2004;0.047401784;-0.029898073;0.034920428;-0.001286385;0
5/08/2004;0.04074096;0.036889982;0.01072327;0.000589581;0
6/08/2004;0.044732189;-0.010358005;-0.005724775;3.66142E-05;0
9/08/2004;0.043643579;0.020250261;-0.01332259;-0.001116456;0
10/08/2004;0.046442444;-0.007136485;-0.003924678;-0.000868486;0
11/08/2004;0.045017455;0.006289286;0.007888243;0.000212271;0
12/08/2004;0.044035608;0.015625023;-0.000379084;0.001326432;0
13/08/2004;0.038485728;0.023736308;-0.002235864;0.001337341;0
17/08/2004;0.04777167;0.003649592;0.010222504;-0.000839515;0
18/08/2004;0.044094263;0.011122995;0.005502387;-0.000173092;0
19/08/2004;0.04318872;0.030251766;0.026285634;0.000166436;0
20/08/2004;0.045658785;-0.01724846;0.027632828;-0.000376236;0
23/08/2004;0.044559876;-0.037818679;0.000221741;-0.000174911;0
24/08/2004;0.0431225;-0.018241043;-0.002896773;-0.00180653;0
25/08/2004;0.042264585;-0.038487017;0;-0.001088878;0
26/08/2004;0.042600802;-0.008511686;0.000718886;-0.002310744;0
27/08/2004;0.044399157;0.001856195;-0.007331813;-0.001153236;0
30/08/2004;0.043132671;-0.020843006;-0.017935212;0.000981205;0
31/08/2004;0.043072481;-0.003784295;-0.004596077;-0.003907552;0
1/09/2004;0.044601953;0.044634403;0.006097887;-0.002547079;0
2/09/2004;0.049460242;0.001363659;0;0.000355986;0
3/09/2004;0.042814861;-0.00158872;0.011446734;0.002420824;0
6/09/2004;0.043482202;0;0;0.002055356;0
7/09/2004;0.042385138;-0.015458081;0.010687206;0;0
8/09/2004;0.04179832;-0.012468275;-0.010908119;-0.002062161;0
9/09/2004;0.041336666;0.043020832;-0.005761786;-0.002857334;0
10/09/2004;0.042997285;-0.040349696;-0.010111376;-0.002218228;0
13/09/2004;0.042289269;0.024760523;0.003941029;0.002096622;0
