Fecha;PIB;Crecimiento PIB;log PIB;d_PIB;const;IED;IED_%
1/03/2014;193320.8806;0.012669223;5.286278765;0.005467611;0.004833952;3789.927514;-0.005814381
1/06/2014;194513.9475;0.006171433;5.288950748;0.002671983;0.004833952;4945.412155;0.304883045
1/09/2014;195925.8341;0.007258537;5.292091704;0.003140957;0.004833952;3673.176286;-0.257255782
1/12/2014;197828.3378;0.009710326;5.296288502;0.004196797;0.004833952;3760.190669;0.023689139
1/03/2015;199755.1711;0.009739926;5.300498031;0.004209529;0.004833952;3299.087855;-0.122627509
1/06/2015;200563.7712;0.004047956;5.302252487;0.001754456;0.004833952;4081.846223;0.237265087
1/09/2015;202973.3402;0.012013979;5.307438999;0.005186512;0.004833952;2210.141204;-0.458543737
1/12/2015;201399.7174;-0.007752855;5.304058857;-0.003380142;0.004833952;2132.861792;-0.034965826
1/03/2016;204827.2826;0.017018719;5.311387803;0.007328947;0.004833952;4684.339446;1.196269568
1/06/2016;204348.7544;-0.002336253;5.310371995;-0.001015809;0.004833952;3638.004783;-0.223368668
1/09/2016;205584.5756;0.006047608;5.312990528;0.002618533;0.004833952;2256.218971;-0.37981968
1/12/2016;206728.3874;0.005563704;5.315400117;0.002409589;0.004833952;3269.030801;0.448897843
1/03/2017;206379.7575;-0.001686415;5.314667098;-0.000733019;0.004833952;2513.449411;-0.231133151
1/06/2017;207680.9272;0.006304735;5.317396614;0.002729516;0.004833952;2526.31038;0.00511686
1/09/2017;208739.9615;0.005099333;5.319605599;0.002208985;0.004833952;4992.255903;0.976105526
1/12/2017;209855.3538;0.005343453;5.321920053;0.002314454;0.004833952;3804.680533;-0.237883512
1/03/2018;211119.2773;0.006022832;5.324527891;0.002607837;0.004833952;2007.05212;-0.472478148
1/06/2018;212619.8783;0.007107835;5.327603865;0.003075975;0.004833952;3845.83898;0.916162985
1/09/2018;214397.548;0.008360788;5.331219814;0.003615949;0.004833952;2798.793463;-0.272254123
1/12/2018;215463.2964;0.004970898;5.3333733;0.002153486;0.004833952;2883.435311;0.030242263
1/03/2019;217099.4376;0.007593596;5.336658698;0.003285399;0.004833952;3385.858226;0.174244559
1/06/2019;220375.9535;0.015092236;5.343164204;0.006505506;0.004833952;4120.040035;0.216837729
1/09/2019;221716.5872;0.006083394;5.345798185;0.002633981;0.004833952;3272.004059;-0.205831975
1/12/2019;222766.43;0.004735066;5.347849745;0.00205156;0.004833952;3715.203748;0.13545206
